model,emoji,gold,prompt_type,temperature,prediction,correct,latency
mistral:7b,🧑🕷️🏙️,spider-man,zero_shot,0.0,Spider-Man: Into the Spider-Verse,0,5.068709135055542
mistral:7b,🧑🕷️🏙️,spider-man,json_constrained,0.0,Man vs Spider in Metropolis,0,1.1931540966033936
mistral:7b,🧑🕷️🏙️,spider-man,few_shot,0.0,"The Amazing Spider-Man 2 (This emoji sequence suggests a man, a spider, and a city, which are characters or elements from the Spider-Man series)",0,2.5147900581359863
mistral:7b,🧑🕷️🏙️,spider-man,zero_shot,0.3,Spider-Man: Into the Spider-Verse,0,0.9138889312744141
mistral:7b,🧑🕷️🏙️,spider-man,json_constrained,0.3,Man vs Spider in Metropolis,0,1.1813528537750244
mistral:7b,🧑🕷️🏙️,spider-man,few_shot,0.3,"The Amazing Spider-Man 2 (This emoji sequence suggests a man in cityscape encountering a spider, which is a reference to Spider-Man's story)",0,2.5125718116760254
mistral:7b,🧑🕷️🏙️,spider-man,zero_shot,0.7,Spider-Man: Into the Spider-Verse,0,0.9140899181365967
mistral:7b,🧑🕷️🏙️,spider-man,json_constrained,0.7,Woman-Spider-City,0,1.1391849517822266
mistral:7b,🧑🕷️🏙️,spider-man,few_shot,0.7,"The answer is ""Spider-Man in New York"" (or similar, depending on which specific Spider-Man film features scenes in a city). This combination of emojis suggests a scene involving a person (male, as indicated by 🧑) and a spider (symbolized by 🕷️) in an urban environment (represented by 🏙️), which is reminiscent of the Spider-Man series.",0,5.255874156951904
llama3.2:latest,🧑🕷️🏙️,spider-man,zero_shot,0.0,Spider-Man.,1,7.240997076034546
llama3.2:latest,🧑🕷️🏙️,spider-man,json_constrained,0.0,Spider-Man,1,0.3742101192474365
llama3.2:latest,🧑🕷️🏙️,spider-man,few_shot,0.0,Spider-Man: No Way Home,0,0.4287412166595459
llama3.2:latest,🧑🕷️🏙️,spider-man,zero_shot,0.3,Spider-Man.,1,0.27974414825439453
llama3.2:latest,🧑🕷️🏙️,spider-man,json_constrained,0.3,Spider-Man,1,0.36881208419799805
llama3.2:latest,🧑🕷️🏙️,spider-man,few_shot,0.3,Spider-Man: Into the Spider-Verse,0,0.4757068157196045
llama3.2:latest,🧑🕷️🏙️,spider-man,zero_shot,0.7,Spider-Man: Homecoming,0,0.3250448703765869
llama3.2:latest,🧑🕷️🏙️,spider-man,json_constrained,0.7,Spider-Man,1,0.3749048709869385
llama3.2:latest,🧑🕷️🏙️,spider-man,few_shot,0.7,Spider-Man: No Way Home,0,0.42857813835144043
mistral:7b,🚢💔🧊,titanic,zero_shot,0.0,Titanic (1997),0,2.30485200881958
mistral:7b,🚢💔🧊,titanic,json_constrained,0.0,Titanic: The Frozen Heartbreak,0,1.249511957168579
mistral:7b,🚢💔🧊,titanic,few_shot,0.0,Ice Age 2: The Meltdown,0,1.1657929420471191
mistral:7b,🚢💔🧊,titanic,zero_shot,0.3,Titanic (1997),0,0.7866408824920654
mistral:7b,🚢💔🧊,titanic,json_constrained,0.3,Titanic: The Frozen Heartbreak,0,1.004180908203125
mistral:7b,🚢💔🧊,titanic,few_shot,0.3,Ice Age 2: The Meltdown,0,1.1572880744934082
mistral:7b,🚢💔🧊,titanic,zero_shot,0.7,Titanic,1,5.567163944244385
mistral:7b,🚢💔🧊,titanic,json_constrained,0.7,Titanic: The Frozen Heartbreak,0,1.2194600105285645
mistral:7b,🚢💔🧊,titanic,few_shot,0.7,Ice Age 2: The Meltdown,0,1.1608970165252686
llama3.2:latest,🚢💔🧊,titanic,zero_shot,0.0,Titanic,1,0.9431910514831543
llama3.2:latest,🚢💔🧊,titanic,json_constrained,0.0,Frozen Heart of the Sea,0,0.4723362922668457
llama3.2:latest,🚢💔🧊,titanic,few_shot,0.0,The Revenant,0,0.3870699405670166
llama3.2:latest,🚢💔🧊,titanic,zero_shot,0.3,Titanic.,1,0.21303510665893555
llama3.2:latest,🚢💔🧊,titanic,json_constrained,0.3,Frozen Sorrow,0,0.3199477195739746
llama3.2:latest,🚢💔🧊,titanic,few_shot,0.3,The Revenant,0,0.38491201400756836
llama3.2:latest,🚢💔🧊,titanic,zero_shot,0.7,Titanic,1,0.1875288486480713
llama3.2:latest,🚢💔🧊,titanic,json_constrained,0.7,The Iceberg Melts (Heart Break),0,0.4525320529937744
llama3.2:latest,🚢💔🧊,titanic,few_shot,0.7,The Revenant,0,0.38326096534729004
mistral:7b,👸❄️,frozen,zero_shot,0.0,Cinderella III: Winter Warrior (Disney's direct-to-video sequel),0,1.2214102745056152
mistral:7b,👸❄️,frozen,json_constrained,0.0,Frozen Princess,0,0.8292140960693359
mistral:7b,👸❄️,frozen,few_shot,0.0,Frozen,1,0.8484249114990234
mistral:7b,👸❄️,frozen,zero_shot,0.3,Cinderella III: Winter Warrior (Disney's direct-to-video sequel),0,1.1299262046813965
mistral:7b,👸❄️,frozen,json_constrained,0.3,Frozen Princess,0,0.8231711387634277
mistral:7b,👸❄️,frozen,few_shot,0.3,Frozen,1,0.8471279144287109
mistral:7b,👸❄️,frozen,zero_shot,0.7,Cinderella III: Winter Warrior (Disney),0,0.7365171909332275
mistral:7b,👸❄️,frozen,json_constrained,0.7,Frozen Princess,0,0.8225347995758057
mistral:7b,👸❄️,frozen,few_shot,0.7,Frozen,1,0.8484342098236084
llama3.2:latest,👸❄️,frozen,zero_shot,0.0,Frozen,1,0.2059650421142578
llama3.2:latest,👸❄️,frozen,json_constrained,0.0,Frozen Princess,0,0.2995481491088867
llama3.2:latest,👸❄️,frozen,few_shot,0.0,Frozen,1,0.31741809844970703
llama3.2:latest,👸❄️,frozen,zero_shot,0.3,Frozen,1,0.16606521606445312
llama3.2:latest,👸❄️,frozen,json_constrained,0.3,Frozen Princess,0,0.2976341247558594
llama3.2:latest,👸❄️,frozen,few_shot,0.3,Frozen,1,0.3172290325164795
llama3.2:latest,👸❄️,frozen,zero_shot,0.7,Frozen,1,0.1652541160583496
llama3.2:latest,👸❄️,frozen,json_constrained,0.7,Frozen Princess,0,0.298475980758667
llama3.2:latest,👸❄️,frozen,few_shot,0.7,Frozen,1,0.3174271583557129
mistral:7b,🧙🧝💍🌋,the lord of the rings,zero_shot,0.0,"The movie title is ""Fantastic Beasts and Where to Find Them - The Wedding Goblin and the Shiva's Rock"" (based on the emojis representing a goblin, a human, a wedding ring, and a mountain that resembles the Shivlinga from Mount Kailash). However, this is an imaginative interpretation as there are no official movie titles that match this sequence.",0,4.39125919342041
mistral:7b,🧙🧝💍🌋,the lord of the rings,json_constrained,0.0,Wedding of Wizards and Giants before the Eruption,0,1.444394826889038
mistral:7b,🧙🧝💍🌋,the lord of the rings,few_shot,0.0,Harry Potter and the Philosopher's Stone,0,1.2548720836639404
mistral:7b,🧙🧝💍🌋,the lord of the rings,zero_shot,0.3,"The movie title for the given emoji sequence is ""Fantastic Beasts: The Crimes of Grindelwald"". The emojis represent Harry Potter characters: 🧙 (Dumbledore as a young man), 🧝 (Newt Scamander), 💍 (Wedding or engagement, possibly representing the character Theseus), and 🌋 (Hagrid's Hut or the magical landscape of the movie).",0,4.928283929824829
mistral:7b,🧙🧝💍🌋,the lord of the rings,json_constrained,0.3,Wedding of Wizards and Giants before the Eruption,0,1.439582109451294
mistral:7b,🧙🧝💍🌋,the lord of the rings,few_shot,0.3,Harry Potter and the Philosopher's Stone,0,1.254162311553955
mistral:7b,🧙🧝💍🌋,the lord of the rings,zero_shot,0.7,"The movie title is ""Fantastic Beasts and Where to Find Them"" (the emojis represent Harry Potter characters and Yellowstone's Grand Prismatic Spring, but not a direct match for the given sequence). However, it seems there might be a misunderstanding as these emojis do not directly form a coherent movie title.",0,3.6102631092071533
mistral:7b,🧙🧝💍🌋,the lord of the rings,json_constrained,0.7,Wizard's Wedding at Yosemite,0,1.3223400115966797
mistral:7b,🧙🧝💍🌋,the lord of the rings,few_shot,0.7,Harry Potter and the Deathly Hallows,0,1.1620941162109375
llama3.2:latest,🧙🧝💍🌋,the lord of the rings,zero_shot,0.0,Shrek,0,0.46915507316589355
llama3.2:latest,🧙🧝💍🌋,the lord of the rings,json_constrained,0.0,The Princess Bride,0,0.4434530735015869
llama3.2:latest,🧙🧝💍🌋,the lord of the rings,few_shot,0.0,The Hobbit,0,0.37861013412475586
llama3.2:latest,🧙🧝💍🌋,the lord of the rings,zero_shot,0.3,Shrek.,0,0.28218913078308105
llama3.2:latest,🧙🧝💍🌋,the lord of the rings,json_constrained,0.3,The Wizard of Oz (1939),0,0.5038092136383057
llama3.2:latest,🧙🧝💍🌋,the lord of the rings,few_shot,0.3,The Lord of the Rings: The Hobbit,0,0.49797606468200684
llama3.2:latest,🧙🧝💍🌋,the lord of the rings,zero_shot,0.7,Shrek.,0,0.2812011241912842
llama3.2:latest,🧙🧝💍🌋,the lord of the rings,json_constrained,0.7,The Princess Bride,0,0.3933382034301758
llama3.2:latest,🧙🧝💍🌋,the lord of the rings,few_shot,0.7,The Lord of the Rings: The Hobbit,0,0.49539780616760254
mistral:7b,🦖🏞️,jurassic park,zero_shot,0.0,Dinosaur (2000),0,0.6689131259918213
mistral:7b,🦖🏞️,jurassic park,json_constrained,0.0,Jurassic Park,1,1.0454461574554443
mistral:7b,🦖🏞️,jurassic park,few_shot,0.0,Jurassic Park,1,0.9375810623168945
mistral:7b,🦖🏞️,jurassic park,zero_shot,0.3,Dinosaur (2000),0,0.6046621799468994
mistral:7b,🦖🏞️,jurassic park,json_constrained,0.3,Jurassic Park,1,1.0449259281158447
mistral:7b,🦖🏞️,jurassic park,few_shot,0.3,Jurassic Park,1,0.936398983001709
mistral:7b,🦖🏞️,jurassic park,zero_shot,0.7,Dinosaur (2000),0,0.6048119068145752
mistral:7b,🦖🏞️,jurassic park,json_constrained,0.7,Dinosaur Canyon,0,1.0851640701293945
mistral:7b,🦖🏞️,jurassic park,few_shot,0.7,Jurassic Park,1,0.9360368251800537
llama3.2:latest,🦖🏞️,jurassic park,zero_shot,0.0,Jurassic Park,1,0.25054407119750977
llama3.2:latest,🦖🏞️,jurassic park,json_constrained,0.0,Jurassic Park,1,0.32070112228393555
llama3.2:latest,🦖🏞️,jurassic park,few_shot,0.0,Jurassic Park,1,0.3625810146331787
llama3.2:latest,🦖🏞️,jurassic park,zero_shot,0.3,Jurassic Park,1,0.21631073951721191
llama3.2:latest,🦖🏞️,jurassic park,json_constrained,0.3,Jurassic Park,1,0.32552075386047363
llama3.2:latest,🦖🏞️,jurassic park,few_shot,0.3,Jurassic Park,1,0.36702394485473633
llama3.2:latest,🦖🏞️,jurassic park,zero_shot,0.7,Jurassic Park 🌳,1,0.27758288383483887
llama3.2:latest,🦖🏞️,jurassic park,json_constrained,0.7,Jurassic Park,1,0.3207230567932129
